scheduler,scenario,seed,episode,sensor_pd,effective_pd,sensor_pfa,n_tp,n_fp,n_fn,n_tn,n_blind,poi,poi_periodic,poi_agile,poi_scanning,poi_time,n_bursts,n_caught,mean_tti,median_tti,intercept_rate_per_dwell,intercept_rate_per_s,discovery_ratio,n_predictions,n_dropped_predictions,correct_pred_pct,avg_pred_time_error,total_reward,mean_reward,blind_fraction,switch_rate,n_switches,us_per_decision_mean,us_per_decision_p99,n_dwells,n_emitters,n_bursts_total,scenario_file,seed_split,scenario_split,T,N,tau_switch,blind_pct
round_robin,train_default,100,0,0.6774193548387096,0.3230769230769231,0.0008097165991902834,21,2,10,2468,2499,0.0220125786163522,0.025,0.013592233009708738,0.10256410256410256,0.003574468085106383,954,21,3.619047619047619,3.0,0.0042,4.2,1.0,0,0,,,-6151.0,-1.2302,0.4998,0.4998,2499,0.6440600000000001,1.3,5000,4,954,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
round_robin,train_default,101,0,0.6842105263157895,0.32098765432098764,0.0,26,0,12,2463,2499,0.028017241379310345,0.02493765586034913,0.022494887525562373,0.13157894736842105,0.0044270389919972754,928,26,2.6923076923076925,1.0,0.0052,5.2,1.0,0,0,,,-6143.5,-1.2287,0.4998,0.4998,2499,0.7753399999999999,1.3,5000,4,928,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
round_robin,train_default,102,0,0.6222222222222222,0.27450980392156865,0.0016286644951140066,28,4,17,2452,2499,0.030335861321776816,0.0225,0.030991735537190084,0.10256410256410256,0.004761904761904762,923,28,3.7142857142857144,2.0,0.0056,5.6,0.75,0,0,,,-6138.5,-1.2277,0.4998,0.4998,2499,0.6144,1.2,5000,4,923,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
round_robin,train_default,103,0,0.7333333333333333,0.3283582089552239,0.0004046944556859571,22,1,8,2470,2499,0.023706896551724137,0.029925187032418952,0.014314928425357873,0.07894736842105263,0.0037459560701515408,928,22,4.2272727272727275,2.5,0.0044,4.4,1.0,0,0,,,-6151.0,-1.2302,0.4998,0.4998,2499,0.6301399999999999,1.2,5000,4,928,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
round_robin,train_default,104,0,0.6904761904761905,0.32222222222222224,0.0012200081333875558,29,3,13,2456,2499,0.031016042780748664,0.025,0.02620967741935484,0.15384615384615385,0.004931972789115646,935,29,5.241379310344827,3.0,0.0058,5.8,1.0,0,0,,,-6128.5,-1.2257,0.4998,0.4998,2499,0.64504,1.3,5000,4,935,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
round_robin,train_default,105,0,0.7674418604651163,0.35106382978723405,0.0012205044751830757,33,3,10,2455,2499,0.035483870967741936,0.035,0.03054989816700611,0.10256410256410256,0.005612244897959183,930,33,6.121212121212121,3.0,0.0066,6.6,1.0,0,0,,,-6118.5,-1.2237,0.4998,0.4998,2499,0.76134,2.0010000000000217,5000,4,930,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
round_robin,train_default,106,0,0.7222222222222222,0.33766233766233766,0.0008113590263691683,26,2,10,2463,2499,0.02810810810810811,0.02743142144638404,0.02263374485596708,0.10526315789473684,0.0044270389919972754,925,26,3.8076923076923075,2.5,0.0052,5.2,1.0,0,0,,,-6138.5,-1.2277,0.4998,0.4998,2499,0.67668,1.4,5000,4,925,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
round_robin,train_default,107,0,0.7352941176470589,0.33783783783783783,0.0,25,0,9,2467,2499,0.026455026455026454,0.02743142144638404,0.019762845849802372,0.10526315789473684,0.004259669449650707,945,25,4.08,2.0,0.005,5.0,1.0,0,0,,,-6146.0,-1.2292,0.4998,0.4998,2499,0.66258,1.3,5000,4,945,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
round_robin,train_default,108,0,0.6097560975609756,0.2717391304347826,0.002845528455284553,25,7,16,2453,2499,0.02631578947368421,0.022443890274314215,0.023483365949119372,0.10526315789473684,0.004258943781942078,950,25,4.32,3.0,0.005,5.0,1.0,0,0,,,-6128.5,-1.2257,0.4998,0.4998,2499,0.99164,3.5010000000000217,5000,4,950,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
round_robin,train_default,109,0,0.7241379310344828,0.2916666666666667,0.0,21,0,8,2472,2499,0.02258064516129032,0.022443890274314215,0.016293279022403257,0.10526315789473684,0.003575685339690107,930,21,4.476190476190476,2.0,0.0042,4.2,1.0,0,0,,,-6156.0,-1.2312,0.4998,0.4998,2499,0.8643,2.8,5000,4,930,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
weighted_priority,train_default,0,0,0.7575757575757576,0.33783783783783783,0.0,25,0,8,2468,2499,0.026399155227032733,0.0275,0.021653543307086614,0.07692307692307693,0.004251700680272109,947,25,4.64,3.0,0.005,5.0,1.0,0,0,,,-6146.0,-1.2292,0.4998,0.4998,2499,5.8418399999999995,41.10100000000002,5000,4,947,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
weighted_priority,train_default,1,0,0.6829268292682927,0.32941176470588235,0.0008130081300813008,28,2,13,2458,2499,0.029535864978902954,0.0275,0.0275049115913556,0.07692307692307693,0.004767580452920143,948,28,3.4642857142857144,2.5,0.0056,5.6,1.0,0,0,,,-6133.5,-1.2267,0.4998,0.4998,2499,3.6623600000000005,13.301000000000023,5000,4,948,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
weighted_priority,train_default,2,0,0.725,0.3258426966292135,0.0016253555465258025,29,4,11,2457,2499,0.03131749460043196,0.0275,0.028688524590163935,0.10526315789473684,0.004942058623040218,926,29,4.862068965517241,4.0,0.0058,5.8,1.0,0,0,,,-6126.0,-1.2252,0.4998,0.4998,2499,3.3583,10.901000000000023,5000,4,926,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
weighted_priority,train_default,3,0,0.696969696969697,0.3026315789473684,0.0,23,0,10,2468,2499,0.024261603375527425,0.025,0.0196078431372549,0.07894736842105263,0.003919563735514656,948,23,3.4782608695652173,2.0,0.0046,4.6,1.0,0,0,,,-6151.0,-1.2302,0.4998,0.4998,2499,3.1353,10.101000000000022,5000,4,948,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
weighted_priority,train_default,4,0,0.8888888888888888,0.3855421686746988,0.00040567951318458417,32,1,4,2464,2499,0.03361344537815126,0.0325,0.029239766081871343,0.10256410256410256,0.005442176870748299,952,32,4.125,2.5,0.0064,6.4,1.0,0,0,,,-6126.0,-1.2252,0.4998,0.4998,2499,3.27926,10.001000000000023,5000,4,952,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
weighted_priority,train_default,5,0,0.5227272727272727,0.23711340206185566,0.002035002035002035,23,5,21,2452,2499,0.024312896405919663,0.022443890274314215,0.019762845849802372,0.10256410256410256,0.003908241291418862,946,23,2.869565217391304,1.0,0.0046,4.6,1.0,0,0,,,-6138.5,-1.2277,0.4998,0.4998,2499,4.3726199999999995,26.00600000000013,5000,4,946,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
weighted_priority,train_default,6,0,0.696969696969697,0.2948717948717949,0.0004051863857374392,23,1,10,2467,2499,0.02446808510638298,0.02493765586034913,0.018,0.10256410256410256,0.003908905506458192,940,23,4.695652173913044,3.0,0.0046,4.6,1.0,0,0,,,-6148.5,-1.2297,0.4998,0.4998,2499,3.3129,10.001000000000023,5000,4,940,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
weighted_priority,train_default,7,0,0.75,0.32142857142857145,0.0008113590263691683,27,2,9,2463,2499,0.028938906752411574,0.02,0.030364372469635626,0.10256410256410256,0.004593399115345355,933,27,5.148148148148148,5.0,0.0054,5.4,0.75,0,0,,,-6146.0,-1.2292,0.4998,0.4998,2499,3.37854,10.401000000000023,5000,4,933,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
weighted_priority,train_default,8,0,0.7105263157894737,0.32926829268292684,0.001218026796589525,27,3,11,2460,2499,0.028969957081545063,0.0225,0.028397565922920892,0.10256410256410256,0.004591836734693878,932,27,3.4444444444444446,3.0,0.0054,5.4,0.75,0,0,,,-6143.5,-1.2287,0.4998,0.4998,2499,3.2265599999999997,9.801000000000023,5000,4,932,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
weighted_priority,train_default,9,0,0.6857142857142857,0.3076923076923077,0.0012165450121654502,24,3,11,2463,2499,0.025477707006369428,0.02743142144638404,0.017892644135188866,0.10526315789473684,0.004087889626980072,942,24,3.7916666666666665,2.0,0.0048,4.8,1.0,0,0,,,-6141.0,-1.2282,0.4998,0.4998,2499,3.49064,10.401000000000023,5000,4,942,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,train,train,5000,50,1,49.980000000000004
weighted_priority,train_default,100,0,0.6774193548387096,0.3230769230769231,0.0008097165991902834,21,2,10,2468,2499,0.0220125786163522,0.025,0.013592233009708738,0.10256410256410256,0.003574468085106383,954,21,3.619047619047619,3.0,0.0042,4.2,1.0,0,0,,,-6151.0,-1.2302,0.4998,0.4998,2499,3.3927399999999994,13.401000000000023,5000,4,954,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
weighted_priority,train_default,101,0,0.6842105263157895,0.32098765432098764,0.0,26,0,12,2463,2499,0.028017241379310345,0.02493765586034913,0.022494887525562373,0.13157894736842105,0.0044270389919972754,928,26,2.6923076923076925,1.0,0.0052,5.2,1.0,0,0,,,-6143.5,-1.2287,0.4998,0.4998,2499,3.41656,12.201000000000022,5000,4,928,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
weighted_priority,train_default,102,0,0.6222222222222222,0.27450980392156865,0.0016286644951140066,28,4,17,2452,2499,0.030335861321776816,0.0225,0.030991735537190084,0.10256410256410256,0.004761904761904762,923,28,3.7142857142857144,2.0,0.0056,5.6,0.75,0,0,,,-6138.5,-1.2277,0.4998,0.4998,2499,3.9669800000000004,15.90500000000011,5000,4,923,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
weighted_priority,train_default,103,0,0.7333333333333333,0.3283582089552239,0.0004046944556859571,22,1,8,2470,2499,0.023706896551724137,0.029925187032418952,0.014314928425357873,0.07894736842105263,0.0037459560701515408,928,22,4.2272727272727275,2.5,0.0044,4.4,1.0,0,0,,,-6151.0,-1.2302,0.4998,0.4998,2499,3.2966599999999997,10.102000000000043,5000,4,928,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
weighted_priority,train_default,104,0,0.6904761904761905,0.32222222222222224,0.0012200081333875558,29,3,13,2456,2499,0.031016042780748664,0.025,0.02620967741935484,0.15384615384615385,0.004931972789115646,935,29,5.241379310344827,3.0,0.0058,5.8,1.0,0,0,,,-6128.5,-1.2257,0.4998,0.4998,2499,3.9114199999999997,14.625000000000545,5000,4,935,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
weighted_priority,train_default,105,0,0.7674418604651163,0.35106382978723405,0.0012205044751830757,33,3,10,2455,2499,0.035483870967741936,0.035,0.03054989816700611,0.10256410256410256,0.005612244897959183,930,33,6.121212121212121,3.0,0.0066,6.6,1.0,0,0,,,-6118.5,-1.2237,0.4998,0.4998,2499,3.63414,16.001000000000023,5000,4,930,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
weighted_priority,train_default,106,0,0.7222222222222222,0.33766233766233766,0.0008113590263691683,26,2,10,2463,2499,0.02810810810810811,0.02743142144638404,0.02263374485596708,0.10526315789473684,0.0044270389919972754,925,26,3.8076923076923075,2.5,0.0052,5.2,1.0,0,0,,,-6138.5,-1.2277,0.4998,0.4998,2499,5.679600000000001,44.607000000000156,5000,4,925,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
weighted_priority,train_default,107,0,0.7352941176470589,0.33783783783783783,0.0,25,0,9,2467,2499,0.026455026455026454,0.02743142144638404,0.019762845849802372,0.10526315789473684,0.004259669449650707,945,25,4.08,2.0,0.005,5.0,1.0,0,0,,,-6146.0,-1.2292,0.4998,0.4998,2499,3.22928,9.9,5000,4,945,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
weighted_priority,train_default,108,0,0.6097560975609756,0.2717391304347826,0.002845528455284553,25,7,16,2453,2499,0.02631578947368421,0.022443890274314215,0.023483365949119372,0.10526315789473684,0.004258943781942078,950,25,4.32,3.0,0.005,5.0,1.0,0,0,,,-6128.5,-1.2257,0.4998,0.4998,2499,3.7761399999999994,14.102000000000043,5000,4,950,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
weighted_priority,train_default,109,0,0.7241379310344828,0.2916666666666667,0.0,21,0,8,2472,2499,0.02258064516129032,0.022443890274314215,0.016293279022403257,0.10526315789473684,0.003575685339690107,930,21,4.476190476190476,2.0,0.0042,4.2,1.0,0,0,,,-6156.0,-1.2312,0.4998,0.4998,2499,3.5859199999999998,11.202000000000043,5000,4,930,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\train_default.json,heldout,train,5000,50,1,49.980000000000004
round_robin,heldout_mix,0,0,0.6078431372549019,0.3054187192118227,0.0,62,0,40,2399,2499,0.05530776092774309,0.031496062992125984,0.060859188544152745,0.10344827586206896,0.006604175543246698,1121,62,5.451612903225806,4.0,0.0124,12.4,1.0,0,0,,,-6043.5,-1.2087,0.4998,0.4998,2499,0.7004799999999999,1.5,5000,5,1121,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,train,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,1,0,0.6513761467889908,0.3302325581395349,0.0008361204013377926,71,2,38,2390,2499,0.06448683015440508,0.031496062992125984,0.07099143206854346,0.16666666666666666,0.007553191489361702,1101,71,5.52112676056338,3.0,0.0142,14.2,1.0,0,0,,,-6016.0,-1.2032,0.4998,0.4998,2499,0.9337999999999999,3.7,5000,5,1101,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,train,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,2,0,0.5945945945945946,0.2972972972972973,0.0016736401673640166,66,4,45,2386,2499,0.05929919137466307,0.027559055118110236,0.06875753920386007,0.06666666666666667,0.007021276595744681,1113,66,4.5606060606060606,3.0,0.0132,13.2,1.0,0,0,,,-6023.5,-1.2047,0.4998,0.4998,2499,0.7588400000000001,1.8,5000,5,1113,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,train,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,3,0,0.6288659793814433,0.31443298969072164,0.0,61,0,36,2404,2499,0.054367201426024955,0.02766798418972332,0.060714285714285714,0.10344827586206896,0.006501811980387977,1122,61,4.983606557377049,5.0,0.0122,12.2,1.0,0,0,,,-6046.0,-1.2092,0.4998,0.4998,2499,0.75746,1.801000000000022,5000,5,1122,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,train,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,4,0,0.6666666666666666,0.33980582524271846,0.00041736227045075126,70,1,35,2395,2499,0.06172839506172839,0.03937007874015748,0.0681551116333725,0.06896551724137931,0.007456327226246272,1134,70,5.242857142857143,3.0,0.014,14.0,1.0,0,0,,,-6021.0,-1.2042,0.4998,0.4998,2499,0.80214,1.6,5000,5,1134,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,train,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,5,0,0.616822429906542,0.3127962085308057,0.0020885547201336674,66,5,41,2389,2499,0.058771148708815675,0.027559055118110236,0.06666666666666667,0.10344827586206896,0.007030251384746485,1123,66,6.2727272727272725,5.0,0.0132,13.2,0.8,0,0,,,-6031.0,-1.2062,0.4998,0.4998,2499,0.6515799999999999,1.3,5000,5,1123,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,train,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,6,0,0.5730337078651685,0.2849162011173184,0.00041459369817578774,51,1,38,2411,2499,0.04533333333333334,0.023622047244094488,0.04994054696789536,0.1,0.005448135882918492,1125,51,5.333333333333333,5.0,0.0102,10.2,0.8,0,0,,,-6078.5,-1.2157,0.4998,0.4998,2499,0.6501399999999999,1.2,5000,5,1125,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,train,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,7,0,0.6542056074766355,0.3286384976525822,0.0004177109440267335,70,1,37,2393,2499,0.062388591800356503,0.027559055118110236,0.07151370679380215,0.10344827586206896,0.007456327226246272,1122,70,5.185714285714286,5.0,0.014,14.0,0.8,0,0,,,-6031.0,-1.2062,0.4998,0.4998,2499,0.62284,1.2,5000,5,1122,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,train,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,8,0,0.6842105263157895,0.3439153439153439,0.0008312551953449709,65,2,30,2404,2499,0.057624113475177305,0.027559055118110236,0.06516587677725119,0.1,0.006937033084311633,1128,65,4.815384615384615,3.0,0.013,13.0,0.8,0,0,,,-6041.0,-1.2082,0.4998,0.4998,2499,0.73256,1.2,5000,5,1128,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,train,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,9,0,0.5825242718446602,0.2898550724637681,0.0012510425354462051,60,3,43,2395,2499,0.05420054200542006,0.01968503937007874,0.06553398058252427,0.034482758620689655,0.006391137622496805,1107,60,5.85,5.0,0.012,12.0,0.8,0,0,,,-6051.0,-1.2102,0.4998,0.4998,2499,0.64738,1.3,5000,5,1107,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,train,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,100,0,0.7227722772277227,0.3613861386138614,0.0008333333333333334,73,2,28,2398,2499,0.06420404573438875,0.027559055118110236,0.0738569753810082,0.1,0.007765957446808511,1137,73,4.465753424657534,3.0,0.0146,14.6,1.0,0,0,,,-6011.0,-1.2022,0.4998,0.4998,2499,0.691,1.3,5000,5,1137,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,heldout,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,101,0,0.6138613861386139,0.30845771144278605,0.0,62,0,39,2400,2499,0.056210335448776065,0.027450980392156862,0.06356968215158924,0.1,0.0065950430805233485,1103,62,5.17741935483871,5.0,0.0124,12.4,1.0,0,0,,,-6043.5,-1.2087,0.4998,0.4998,2499,0.71632,1.4,5000,5,1103,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,heldout,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,102,0,0.6559139784946236,0.3279569892473118,0.0016611295681063123,61,4,32,2404,2499,0.05431878895814782,0.027559055118110236,0.060786650774731825,0.1,0.00648936170212766,1123,61,5.950819672131147,5.0,0.0122,12.2,1.0,0,0,,,-6036.0,-1.2072,0.4998,0.4998,2499,0.72918,1.4,5000,5,1123,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,heldout,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,103,0,0.696078431372549,0.3463414634146341,0.00041684035014589413,71,1,31,2398,2499,0.06425339366515836,0.027559055118110236,0.07429963459196103,0.1,0.0075556028519740345,1105,71,6.126760563380282,5.0,0.0142,14.2,0.8,0,0,,,-6028.5,-1.2057,0.4998,0.4998,2499,0.7047199999999999,1.301000000000022,5000,5,1105,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,heldout,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,104,0,0.6851851851851852,0.34418604651162793,0.0012536564981195152,74,3,34,2390,2499,0.0674567000911577,0.031496062992125984,0.0773955773955774,0.10344827586206896,0.007882403067746058,1097,74,5.878378378378378,5.0,0.0148,14.8,0.8,0,0,,,-6016.0,-1.2032,0.4998,0.4998,2499,0.69868,1.3,5000,5,1097,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,heldout,heldout,5000,50,1,49.980000000000004
round_robin,heldout_mix,105,0,0.6274509803921569,0.31527093596059114,0.0012505210504376823,64,3,38,2396,2499,0.05714285714285714,0.03137254901960784,0.06347305389221557,0.1,0.006829580621064988,1120,64,5.78125,5.0,0.0128,12.8,1.0,0,0,,,-6031.0,-1.2062,0.4998,0.4998,2499,0.6409,1.3,5000,5,1120,C:\Users\Vansh\OneDrive\Desktop\SIH\simulator\scenarios\heldout_mix.json,heldout,heldout,5000,50,1,49.980000000000004
